120259084288,METHOD_REF,1,,def get_user(...),1,,13,backend\\middleware_channels.py:<module>.get_user,,,1,,backend\\middleware_channels.py:<module>.get_user
120259084289,METHOD_REF,2,,def get_user_id(...),1,,21,backend\\middleware_channels.py:<module>.get_user_id,,,2,,backend\\middleware_channels.py:<module>.get_user_id
120259084290,METHOD_REF,-1,,def <body>(...),1,,30,backend\\middleware_channels.py:<module>.UUIDAuthMiddleware.<body>,,,0,,backend\\middleware_channels.py:<module>.UUIDAuthMiddleware.<body>
120259084291,METHOD_REF,2,,def __init__(...),5,,31,backend\\middleware_channels.py:<module>.UUIDAuthMiddleware.__init__,,,2,,backend\\middleware_channels.py:<module>.UUIDAuthMiddleware.__init__
120259084292,METHOD_REF,2,,def __call__(...),5,,34,backend\\middleware_channels.py:<module>.UUIDAuthMiddleware.__call__,,,2,,backend\\middleware_channels.py:<module>.UUIDAuthMiddleware.__call__
120259084293,METHOD_REF,-1,,def <body>(...),1,,5,backend\\permissions.py:<module>.DebugPermission.<body>,,,0,,backend\\permissions.py:<module>.DebugPermission.<body>
120259084294,METHOD_REF,2,,def has_permission(...),5,,10,backend\\permissions.py:<module>.DebugPermission.has_permission,,,2,,backend\\permissions.py:<module>.DebugPermission.has_permission
120259084295,METHOD_REF,2,,def process_recognition(...),1,,21,consumer.py:<module>.process_recognition,,,2,,consumer.py:<module>.process_recognition
120259084296,METHOD_REF,2,,def main(...),1,,29,consumer.py:<module>.main,,,2,,consumer.py:<module>.main
120259084297,METHOD_REF,-1,,def <body>(...),1,,4,core\\apps.py:<module>.CoreConfig.<body>,,,0,,core\\apps.py:<module>.CoreConfig.<body>
120259084298,METHOD_REF,-1,,def <body>(...),1,,5,core\\management\\commands\\create_admin.py:<module>.Command.<body>,,,0,,core\\management\\commands\\create_admin.py:<module>.Command.<body>
120259084299,METHOD_REF,2,,def add_arguments(...),5,,8,core\\management\\commands\\create_admin.py:<module>.Command.add_arguments,,,2,,core\\management\\commands\\create_admin.py:<module>.Command.add_arguments
120259084300,METHOD_REF,2,,def handle(...),5,,12,core\\management\\commands\\create_admin.py:<module>.Command.handle,,,2,,core\\management\\commands\\create_admin.py:<module>.Command.handle
120259084301,METHOD_REF,-1,,def <body>(...),1,,9,core\\migrations\\0001_initial.py:<module>.Migration.<body>,,,0,,core\\migrations\\0001_initial.py:<module>.Migration.<body>
120259084302,METHOD_REF,-1,,def <body>(...),1,,8,core\\migrations\\0002_user_deleted_at_user_deleted_by_user_is_deleted.py:<module>.Migration.<body>,,,0,,core\\migrations\\0002_user_deleted_at_user_deleted_by_user_is_deleted.py:<module>.Migration.<body>
120259084303,METHOD_REF,-1,,def <body>(...),1,,6,core\\migrations\\0003_user_role.py:<module>.Migration.<body>,,,0,,core\\migrations\\0003_user_role.py:<module>.Migration.<body>
120259084304,METHOD_REF,-1,,def <body>(...),1,,6,core\\migrations\\0004_alter_user_deleted_at.py:<module>.Migration.<body>,,,0,,core\\migrations\\0004_alter_user_deleted_at.py:<module>.Migration.<body>
120259084305,METHOD_REF,-1,,def <body>(...),1,,11,core\\models.py:<module>.UserManager.<body>,,,0,,core\\models.py:<module>.UserManager.<body>
120259084306,METHOD_REF,2,,def _create_user(...),5,,14,core\\models.py:<module>.UserManager._create_user,,,2,,core\\models.py:<module>.UserManager._create_user
120259084307,METHOD_REF,2,,def create_user(...),5,,32,core\\models.py:<module>.UserManager.create_user,,,2,,core\\models.py:<module>.UserManager.create_user
120259084308,METHOD_REF,2,,def create_superuser(...),5,,37,core\\models.py:<module>.UserManager.create_superuser,,,2,,core\\models.py:<module>.UserManager.create_superuser
