90194313216,LITERAL,1,,__future__,1,__builtin.str,1,,,1,,ANY
90194313217,LITERAL,2,,absolute_import,1,__builtin.str,1,,,2,,ANY
90194313218,LITERAL,1,,__future__,1,__builtin.str,1,,,1,,ANY
90194313219,LITERAL,2,,unicode_literals,1,__builtin.str,1,,,2,,ANY
90194313220,LITERAL,1,,.celery_app,1,__builtin.str,5,,,1,,ANY
90194313221,LITERAL,2,,app,1,__builtin.str,5,,,2,,ANY
90194313222,LITERAL,3,,celery_app,1,__builtin.str,5,,,3,,ANY
90194313223,LITERAL,1,,'celery_app',12,__builtin.str,7,,,1,,ANY
90194313224,LITERAL,-1,,"""""""
ASGI config for backend project.

It exposes the ASGI callable as a module-level variable named ``application``.

For more information on this file, see
https://docs.djangoproject.com/en/4.2/howto/deployment/asgi/
""""""",1,__builtin.str,1,,,1,,ANY
90194313225,LITERAL,1,,,1,__builtin.str,10,,,1,,ANY
90194313226,LITERAL,2,,os,1,__builtin.str,10,,,2,,ANY
90194313227,LITERAL,1,,channels.routing,1,__builtin.str,12,,,1,,ANY
90194313228,LITERAL,2,,ProtocolTypeRouter,1,__builtin.str,12,,,2,,ANY
90194313229,LITERAL,1,,channels.routing,1,__builtin.str,12,,,1,,ANY
90194313230,LITERAL,2,,URLRouter,1,__builtin.str,12,,,2,,ANY
90194313231,LITERAL,1,,django.core.asgi,1,__builtin.str,13,,,1,,ANY
90194313232,LITERAL,2,,get_asgi_application,1,__builtin.str,13,,,2,,ANY
90194313233,LITERAL,1,,'DJANGO_SETTINGS_MODULE',23,__builtin.str,15,,,2,,ANY
90194313234,LITERAL,2,,'backend.settings',49,__builtin.str,15,,,3,,ANY
90194313235,LITERAL,1,,backend,1,__builtin.str,20,,,1,,ANY
90194313236,LITERAL,2,,routing,1,__builtin.str,20,,,2,,ANY
90194313237,LITERAL,1,,backend.middleware_channels,1,__builtin.str,21,,,1,,ANY
90194313238,LITERAL,2,,UUIDAuthMiddleware,1,__builtin.str,21,,,2,,ANY
90194313239,LITERAL,2,,"""http""",5,__builtin.str,24,,,2,,ANY
90194313240,LITERAL,2,,"""websocket""",5,__builtin.str,25,,,2,,ANY
90194313241,LITERAL,1,,,1,__builtin.str,1,,,1,,ANY
90194313242,LITERAL,2,,os,1,__builtin.str,1,,,2,,ANY
90194313243,LITERAL,1,,celery,1,__builtin.str,2,,,1,,ANY
90194313244,LITERAL,2,,Celery,1,__builtin.str,2,,,2,,ANY
90194313245,LITERAL,1,,celery.schedules,1,__builtin.str,3,,,1,,ANY
90194313246,LITERAL,2,,crontab,1,__builtin.str,3,,,2,,ANY
90194313247,LITERAL,1,,'DJANGO_SETTINGS_MODULE',23,__builtin.str,5,,,2,,ANY
90194313248,LITERAL,2,,'backend.settings',49,__builtin.str,5,,,3,,ANY
90194313249,LITERAL,1,,'gufsin',14,__builtin.str,7,,,1,,ANY
90194313250,LITERAL,1,,'django.conf:settings',24,__builtin.str,8,,,2,,ANY
90194313251,LITERAL,-1,namespace,'CELERY',58,__builtin.str,8,,,3,,ANY
90194313252,LITERAL,1,,typing,1,__builtin.str,1,,,1,,ANY
90194313253,LITERAL,2,,Optional,1,__builtin.str,1,,,2,,ANY
90194313254,LITERAL,1,,channels.db,1,__builtin.str,3,,,1,,ANY
90194313255,LITERAL,2,,database_sync_to_async,1,__builtin.str,3,,,2,,ANY
90194313256,LITERAL,1,,django.core.cache,1,__builtin.str,4,,,1,,ANY
90194313257,LITERAL,2,,cache,1,__builtin.str,4,,,2,,ANY
90194313258,LITERAL,1,,django.contrib.auth,1,__builtin.str,5,,,1,,ANY
90194313259,LITERAL,2,,get_user_model,1,__builtin.str,5,,,2,,ANY
