94489280512,LOCAL,,__all__,1,,<empty>,7,__all__,,,1,,ANY
94489280513,LOCAL,,absolute_import,1,,<empty>,1,absolute_import,,,2,,ANY
94489280514,LOCAL,,import,1,,<empty>,1,import,,,3,,ANY
94489280515,LOCAL,,unicode_literals,1,,<empty>,1,unicode_literals,,,4,,ANY
94489280516,LOCAL,,celery_app,1,,<empty>,5,celery_app,,,5,,ANY
94489280517,LOCAL,,tmp0,1,,<empty>,15,tmp0,,,1,,ANY
94489280518,LOCAL,,django_asgi_app,1,,<empty>,18,django_asgi_app,,,2,,ANY
94489280519,LOCAL,,tmp1,34,,<empty>,23,tmp1,,,3,,ANY
94489280520,LOCAL,,application,1,,<empty>,23,application,,,4,,ANY
94489280521,LOCAL,,os,1,,<empty>,10,os,,,5,,ANY
94489280522,LOCAL,,import,1,,<empty>,10,import,,,6,,ANY
94489280523,LOCAL,,ProtocolTypeRouter,1,,<empty>,12,ProtocolTypeRouter,,,7,,ANY
94489280524,LOCAL,,URLRouter,1,,<empty>,12,URLRouter,,,8,,ANY
94489280525,LOCAL,,get_asgi_application,1,,<empty>,13,get_asgi_application,,,9,,ANY
94489280526,LOCAL,,routing,1,,<empty>,20,routing,,,10,,ANY
94489280527,LOCAL,,UUIDAuthMiddleware,1,,<empty>,21,UUIDAuthMiddleware,,,11,,ANY
94489280528,LOCAL,,tmp0,1,,<empty>,5,tmp0,,,1,,ANY
94489280529,LOCAL,,app,1,,<empty>,7,app,,,2,,ANY
94489280530,LOCAL,,os,1,,<empty>,1,os,,,3,,ANY
94489280531,LOCAL,,import,1,,<empty>,1,import,,,4,,ANY
94489280532,LOCAL,,Celery,1,,<empty>,2,Celery,,,5,,ANY
94489280533,LOCAL,,crontab,1,,<empty>,3,crontab,,,6,,ANY
94489280534,LOCAL,,int,1,,<empty>,1,int,,,7,,ANY
94489280535,LOCAL,,str,1,,<empty>,1,str,,,8,,ANY
94489280536,LOCAL,,User,1,,<empty>,9,User,,,9,,ANY
94489280537,LOCAL,,get_user,1,,<empty>,13,get_user,,,10,,ANY
94489280538,LOCAL,,UUIDAuthMiddleware,1,,<empty>,30,UUIDAuthMiddleware,,,11,,ANY
94489280539,LOCAL,,Optional,1,,<empty>,1,Optional,,,12,,ANY
94489280540,LOCAL,,import,1,,<empty>,1,import,,,13,,ANY
94489280541,LOCAL,,database_sync_to_async,1,,<empty>,3,database_sync_to_async,,,14,,ANY
94489280542,LOCAL,,cache,1,,<empty>,4,cache,,,15,,ANY
94489280543,LOCAL,,get_user_model,1,,<empty>,5,get_user_model,,,16,,ANY
94489280544,LOCAL,,AnonymousUser,1,,<empty>,6,AnonymousUser,,,17,,ANY
94489280545,LOCAL,,parse_qs,1,,<empty>,7,parse_qs,,,18,,ANY
94489280546,LOCAL,,get_user_id,1,,<empty>,21,get_user_id,,,19,,ANY
94489280547,LOCAL,backend\\middleware_channels.py:<module>.get_user:User,User,16,,<empty>,15,User,,,1,,ANY
94489280548,LOCAL,,tmp0,16,,<empty>,15,tmp0,,,2,,ANY
94489280549,LOCAL,,user,9,,<empty>,15,user,,,3,,ANY
94489280550,LOCAL,backend\\middleware_channels.py:<module>.get_user_id:cache,cache,15,,<empty>,22,cache,,,1,,ANY
