25769803776,BLOCK,-1,,,1,,1,,,1,,ANY
25769803777,BLOCK,-1,,"absolute_import = import(__future__, absolute_import)
unicode_literals = import(__future__, unicode_literals)",1,,1,,,1,,ANY
25769803778,BLOCK,-1,,,1,,1,,,1,,ANY
25769803779,BLOCK,-1,,"ProtocolTypeRouter = import(channels.routing, ProtocolTypeRouter)
URLRouter = import(channels.routing, URLRouter)",1,,12,,,3,,ANY
25769803780,BLOCK,-1,,"tmp0 = os.environ
tmp0.setdefault('DJANGO_SETTINGS_MODULE', 'backend.settings')",1,,15,,,5,,ANY
25769803781,BLOCK,1,,"tmp1 = {}
tmp1[""http""] = django_asgi_app
tmp1[""websocket""] = UUIDAuthMiddleware(URLRouter(routing.websocket_urlpatterns))
tmp1",34,,23,,,1,,ANY
25769803782,BLOCK,-1,,,1,,1,,,1,,ANY
25769803783,BLOCK,-1,,"tmp0 = os.environ
tmp0.setdefault('DJANGO_SETTINGS_MODULE', 'backend.settings')",1,,5,,,4,,ANY
25769803784,BLOCK,-1,,,1,,1,,,1,,ANY
25769803785,BLOCK,-1,,,1,,13,,,1,,ANY
25769803786,BLOCK,2,,"tmp0 = User.objects
tmp0.get(id = user_id)",16,,15,,,2,,ANY
25769803787,BLOCK,-1,,return AnonymousUser(),5,,17,,,1,,ANY
25769803788,BLOCK,-1,,"user = tmp0 = User.objects
tmp0.get(id = user_id)
return user",5,,14,,,1,,ANY
25769803789,BLOCK,-1,,return AnonymousUser(),5,,14,,,1,,ANY
25769803790,BLOCK,-1,,,1,,21,,,1,,ANY
25769803791,BLOCK,-1,,cache.delete(token),5,,24,,,2,,ANY
25769803792,BLOCK,-1,,,1,,30,,,1,,ANY
25769803793,BLOCK,-1,,,5,,31,,,1,,ANY
25769803794,BLOCK,-1,,,5,,34,,,1,,ANY
25769803795,BLOCK,1,,"tmp2 = scope[""query_string""]
tmp2.decode(""utf8"")",26,,35,,,1,,ANY
25769803796,BLOCK,2,,"tmp1 = parse_qs(tmp2 = scope[""query_string""]
tmp2.decode(""utf8""))
tmp1.get(""token"")",17,,35,,,2,,ANY
25769803797,BLOCK,-1,,"user_id = get_user_id(token[0])
scope['user'] = get_user(user_id) if user_id else AnonymousUser()",9,,37,,,2,,ANY
25769803798,BLOCK,-1,,"scope[""user""] = AnonymousUser()",13,,41,,,3,,ANY
25769803799,BLOCK,-1,,,18,,31,,,1,,ANY
25769803800,BLOCK,-1,,,18,,31,,,1,,ANY
25769803801,BLOCK,-1,,,5,,34,,,1,,ANY
25769803802,BLOCK,-1,,,5,,31,,,1,,ANY
25769803803,BLOCK,-1,,"UUIDAuthMiddleware = class UUIDAuthMiddleware<meta>(...)
def <body>(...)()",1,,30,,,12,,ANY
25769803804,BLOCK,-1,,,1,,1,,,1,,ANY
25769803805,BLOCK,-1,,,1,,5,,,1,,ANY
25769803806,BLOCK,-1,,,5,,10,,,1,,ANY
25769803807,BLOCK,-1,,,1,,5,,,1,,ANY
25769803808,BLOCK,-1,,,1,,5,,,1,,ANY
25769803809,BLOCK,-1,,,5,,10,,,1,,ANY
25769803810,BLOCK,-1,,"DebugPermission = class DebugPermission<meta>(...)
def <body>(...)()",1,,5,,,3,,ANY
25769803811,BLOCK,-1,,,1,,1,,,1,,ANY
25769803812,BLOCK,-1,,,1,,1,,,1,,ANY
25769803813,BLOCK,-1,,,1,,1,,,1,,ANY
25769803814,BLOCK,1,,"tmp0 = Path(__file__)
tmp0.resolve()",12,,18,,,1,,ANY
25769803815,BLOCK,2,,"tmp1 = os.environ
tmp1.get('SECRET_KEY', 'wekgh2o35b24uk5g23yuf23yu5g23tb2j4bt')",14,,25,,,2,,ANY
25769803816,BLOCK,2,,"tmp2 = os.environ
tmp2.get('DEBUG', True)",9,,28,,,2,,ANY
25769803817,BLOCK,1,,"tmp3 = os.environ
tmp3.get('ALLOWED_HOSTS', '[""*""]')",28,,32,,,2,,ANY
25769803818,BLOCK,-1,,"tmp4 = socket.gethostbyname_ex(socket.gethostname())
hostname = tmp4[0]
_ = tmp4[1]
ips = tmp4[2]",5,,38,,,2,,ANY
25769803819,BLOCK,-1,,"ip = tmp6.__next__()
tmp5.append(ip[: ip.rfind(""."")] + "".1"")",20,,39,,,2,,ANY
25769803820,BLOCK,-1,,"tmp6 = ips.__iter__()
while ... : ...",20,,39,,,2,,ANY
25769803821,BLOCK,1,,"tmp5 = []
tmp6 = ips.__iter__()
while ... : ...
tmp5",20,,39,,,1,,ANY
25769803822,BLOCK,-1,,"socket = import(, socket)
tmp4 = socket.gethostbyname_ex(socket.gethostname())
hostname = tmp4[0]
_ = tmp4[1]
ips = tmp4[2]
INTERNAL_IPS = tmp5 = []
tmp6 = ips.__iter__()
while ... : ...
tmp5 + [""127.0.0.1"", ""10.0.2.2""]",1,,36,,,2,,ANY
25769803823,BLOCK,2,,"tmp8 = {}
tmp8['context_processors'] = ['django.template.context_processors.debug', 'django.template.context_processors.request', 'django.contrib.auth.context_processors.auth', 'django.contrib.messages.context_processors.messages']
tmp8",20,,90,,,2,,ANY
